Month,Date,Rainfall (mm),Rainfall rank,9am cloud amount (oktas),Cloud Rank,3pm cloud amount (oktas),Cloud Rank,Sunshine (hours),Direction of maximum wind gust,Speed of maximum wind gust (km/h),Time of maximum wind gust,Wind Rank,Minimum temperature (°C),Maximum temperature (°C),Numerical data - Rain,Numerical data - Cloud,Numerical data - Wind
June,1/6/2022,4.4,Medium rainfall,7,Cloudly,7,Cloudly,0.6,W,61,7:22,Heavy wind,4.4,11.4,2,2,2
June,2/6/2022,3.2,Medium rainfall,6,Cloudly,8,Cloudly,4.3,WNW,24,0:02,Light wind,3.3,12.2,2,2,1
June,3/6/2022,0,no rainfall,7,Cloudly,5,Partial cloud,3.6,N,63,22:42,Heavy wind,3,12.1,0,1,2
June,4/6/2022,0,no rainfall,2,No Cloud (Sunny),6,Cloudly,5.8,N,56,21:38,Heavy wind,6.5,14.8,0,2,2
June,5/6/2022,0.2,light rainfall,7,Cloudly,8,Cloudly,1.9,N,72,12:07,Heavy wind,9.1,13.8,1,2,2
June,6/6/2022,0.8,light rainfall,1,No Cloud (Sunny),7,Cloudly,6.2,WSW,63,13:48,Heavy wind,6.3,13.2,1,2,2
June,7/6/2022,2.2,Medium rainfall,7,Cloudly,6,Cloudly,5.1,WSW,56,15:52,Heavy wind,3.8,11.8,2,2,2
June,8/6/2022,0.2,light rainfall,7,Cloudly,6,Cloudly,2.5,WSW,44,12:33,Heavy wind,6.2,12,1,2,2
June,9/6/2022,0.2,light rainfall,7,Cloudly,7,Cloudly,2,SW,50,14:33,Heavy wind,7.7,13.3,1,2,2
June,10/6/2022,0.2,light rainfall,4,Partial cloud,7,Cloudly,3.6,WSW,56,14:17,Heavy wind,7.4,14.4,1,2,2
June,11/6/2022,1,light rainfall,7,Cloudly,7,Cloudly,0.4,WSW,54,14:31,Heavy wind,7.4,12.3,1,2,2
June,12/6/2022,0.2,light rainfall,6,Cloudly,7,Cloudly,2.1,SW,46,11:37,Heavy wind,8.8,12.6,1,2,2
June,13/6/2022,2.8,Medium rainfall,7,Cloudly,6,Cloudly,2.6,N,26,22:46,Heavy wind,7.7,12.9,2,2,2
June,14/6/2022,0,no rainfall,5,Partial cloud,7,Cloudly,4.3,NNE,78,21:48,Heavy wind,5.1,12.9,0,2,2
June,15/6/2022,0,no rainfall,7,Cloudly,7,Cloudly,2.1,NNE,81,1:11,Heavy wind,8.6,12.9,0,2,2
June,16/6/2022,0.2,light rainfall,7,Cloudly,8,Cloudly,0.2,WSW,37,9:58,Heavy wind,8.1,14,1,2,2
June,17/6/2022,9.2,Medium rainfall,7,Cloudly,6,Cloudly,2.7,SW,24,2:33,Light wind,9.5,13.5,2,2,1
June,18/6/2022,0,no rainfall,7,Cloudly,2,No Cloud (Sunny),5.1,N,20,0:12,Light wind,5.6,16,0,0,1
June,19/6/2022,0,no rainfall,6,Cloudly,7,Cloudly,5,NNE,48,23:51,Heavy wind,2.8,14.1,0,2,2
